,BIO_word,BIO_tag,sentence_id,BIO_type
0,almost,O,0,O
1,all,O,0,O
2,destiny,B-destiny,0,B-game
3,2,I-destiny,0,I-game
4,heavy,O,0,O
5,grenade,O,0,O
6,launchers,O,0,O
7,disabled,O,0,O
8,because,O,0,O
9,they,O,0,O
10,'re,O,0,O
11,way,O,0,O
12,too,O,0,O
13,good,O,0,O
14,shazam,O,1,O
15,:,O,1,O
16,fury,O,1,O
17,of,O,1,O
18,the,O,1,O
19,gods,O,1,O
20,delayed,O,1,O
21,to,O,1,O
22,2023,O,1,O
23,",",O,1,O
24,pushes,O,1,O
25,back,O,1,O
26,aquaman,O,1,O
27,and,O,1,O
28,the,O,1,O
29,lost,B-lost,1,B-game
30,kingdom,O,1,O
31,ni,B-ni-no-kuni,2,B-game
32,no,I-ni-no-kuni,2,I-game
33,kuni,I-ni-no-kuni,2,I-game
34,:,I-ni-no-kuni,2,I-game
35,cross,I-ni-no-kuni,2,I-game
36,worlds,I-ni-no-kuni,2,I-game
37,',O,2,O
38,latest,O,2,O
39,update,O,2,O
40,adds,O,2,O
41,competitive,O,2,O
42,cooking,O,2,O
43,netflix,O,3,O
44,'s,O,3,O
45,horizon,B-horizon,3,B-game
46,zero,I-horizon,3,I-game
47,dawn,I-horizon,3,I-game
48,tv,O,3,O
49,series,O,3,O
50,gets,O,3,O
51,new,O,3,O
52,details,O,3,O
53,where,O,4,O
54,to,O,4,O
55,find,O,4,O
56,the,O,4,O
57,glow,O,4,O
58,",",O,4,O
59,groovy,O,4,O
60,grove,O,4,O
61,",",O,4,O
62,and,O,4,O
63,fungi,O,4,O
64,farm,O,4,O
65,locations,O,4,O
66,in,O,4,O
67,fortnite,B-fortnite,4,B-game
68,where,O,5,O
69,is,O,5,O
70,the,O,5,O
71,glow,O,5,O
72,in,O,5,O
73,fortnite,B-fortnite,5,B-game
74,battlefield,B-battlefield,6,B-game
75,2042,I-battlefield,6,I-game
76,season,O,6,O
77,2,O,6,O
78,:,O,6,O
79,master,O,6,O
80,of,O,6,O
81,arms,O,6,O
82,release,O,6,O
83,date,O,6,O
84,",",O,6,O
85,new,O,6,O
86,map,O,6,O
87,",",O,6,O
88,more,O,6,O
89,weapons,O,6,O
90,revealed,O,6,O
91,destiny,B-destiny,7,B-game
92,2,I-destiny,7,I-game
93,:,I-destiny,7,I-game
94,lightfall,I-destiny,7,I-game
95,release,O,7,O
96,date,O,7,O
97,",",O,7,O
98,strand,O,7,O
99,subclass,O,7,O
100,",",O,7,O
101,and,O,7,O
102,everything,O,7,O
103,we,O,7,O
104,know,O,7,O
105,destiny,B-destiny,8,B-game
106,2,I-destiny,8,I-game
107,:,I-destiny,8,I-game
108,lightfall,I-destiny,8,I-game
109,campaign,O,8,O
110,how,O,9,O
111,to,O,9,O
112,get,O,9,O
113,the,O,9,O
114,quicksilver,O,9,O
115,storm,O,9,O
116,exotic,O,9,O
117,in,O,9,O
118,destiny,B-destiny,9,B-game
119,2,I-destiny,9,I-game
120,apex,B-titanfall,10,B-game
121,legends,I-titanfall,10,I-game
122,mobile,I-titanfall,10,I-game
123,let,O,10,O
124,'s,O,10,O
125,jam,O,10,O
126,event,O,10,O
127,guide,O,10,O
128,godzilla,B-godzilla,11,B-game
129,vs.,O,11,O
130,kong,O,11,O
131,sequel,O,11,O
132,gets,O,11,O
133,first,O,11,O
134,plot,O,11,O
135,and,O,11,O
136,casting,O,11,O
137,details,O,11,O
138,destiny,B-destiny,12,B-game
139,2,I-destiny,12,I-game
140,'s,O,12,O
141,new,O,12,O
142,craftable,O,12,O
143,taipan-4fr,O,12,O
144,linear,O,12,O
145,fusion,O,12,O
146,rifle,O,12,O
147,is,O,12,O
148,a,O,12,O
149,must-have,O,12,O
150,",",O,12,O
151,here,O,12,O
152,'s,O,12,O
153,how,O,12,O
154,to,O,12,O
155,get,O,12,O
156,it,O,12,O
157,nhl,B-nhl,13,B-game
158,23,I-nhl,13,I-game
159,preorders,O,13,O
160,are,O,13,O
161,live,O,13,O
162,:,O,13,O
163,editions,O,13,O
164,",",O,13,O
165,bonuses,O,13,O
166,",",O,13,O
167,and,O,13,O
168,more,O,13,O
169,nhl,B-nhl,14,B-game
170,23,I-nhl,14,I-game
171,preorder,O,14,O
172,bonuses,O,14,O
173,lightfall,O,15,O
174,might,O,15,O
175,not,O,15,O
176,be,O,15,O
177,what,O,15,O
178,we,O,15,O
179,thought,O,15,O
180,-,O,15,O
181,iron,O,15,O
182,banter,O,15,O
183,:,O,15,O
184,this,O,15,O
185,week,O,15,O
186,in,O,15,O
187,destiny,B-destiny,15,B-game
188,2,I-destiny,15,I-game
189,the,B-the-last-of-us,16,B-game
190,last,I-the-last-of-us,16,I-game
191,of,I-the-last-of-us,16,I-game
192,us,I-the-last-of-us,16,I-game
193,part,O,16,O
194,1,O,16,O
195,has,O,16,O
196,several,O,16,O
