,BIO_word,BIO_tag,sentence_id,BIO_type
2,destiny,B-destiny,0,B-game
3,2,I-destiny,0,I-game
29,lost,B-lost,1,B-game
31,ni,B-ni-no-kuni,2,B-game
32,no,I-ni-no-kuni,2,I-game
33,kuni,I-ni-no-kuni,2,I-game
34,:,I-ni-no-kuni,2,I-game
35,cross,I-ni-no-kuni,2,I-game
36,worlds,I-ni-no-kuni,2,I-game
45,horizon,B-horizon,3,B-game
46,zero,I-horizon,3,I-game
47,dawn,I-horizon,3,I-game
67,fortnite,B-fortnite,4,B-game
73,fortnite,B-fortnite,5,B-game
74,battlefield,B-battlefield,6,B-game
75,2042,I-battlefield,6,I-game
91,destiny,B-destiny,7,B-game
92,2,I-destiny,7,I-game
93,:,I-destiny,7,I-game
94,lightfall,I-destiny,7,I-game
105,destiny,B-destiny,8,B-game
106,2,I-destiny,8,I-game
107,:,I-destiny,8,I-game
108,lightfall,I-destiny,8,I-game
118,destiny,B-destiny,9,B-game
119,2,I-destiny,9,I-game
120,apex,B-titanfall,10,B-game
121,legends,I-titanfall,10,I-game
122,mobile,I-titanfall,10,I-game
128,godzilla,B-godzilla,11,B-game
138,destiny,B-destiny,12,B-game
139,2,I-destiny,12,I-game
157,nhl,B-nhl,13,B-game
158,23,I-nhl,13,I-game
169,nhl,B-nhl,14,B-game
170,23,I-nhl,14,I-game
187,destiny,B-destiny,15,B-game
188,2,I-destiny,15,I-game
189,the,B-the-last-of-us,16,B-game
190,last,I-the-last-of-us,16,I-game
191,of,I-the-last-of-us,16,I-game
192,us,I-the-last-of-us,16,I-game
200,splatoon,B-splatoon,17,B-game
201,3,I-splatoon,17,I-game
226,god,B-god-of-war,18,B-game
227,of,I-god-of-war,18,I-game
228,war,I-god-of-war,18,I-game
231,assassin,B-assassins-creed,19,B-game
232,'s,I-assassins-creed,19,I-game
233,creed,I-assassins-creed,19,I-game
249,diablo,B-diablo,20,B-game
250,immortal,I-diablo,20,I-game
263,the,B-the-king-of-fighters,21,B-game
264,king,I-the-king-of-fighters,21,I-game
265,of,I-the-king-of-fighters,21,I-game
266,fighters,I-the-king-of-fighters,21,I-game
267,xv,I-the-king-of-fighters,21,I-game
281,splatoon,B-splatoon,22,B-game
282,3,I-splatoon,22,I-game
285,up,B-disney,22,B-game
288,call,B-call-of-duty,23,B-game
289,of,I-call-of-duty,23,I-game
290,duty,I-call-of-duty,23,I-game
291,:,I-call-of-duty,23,I-game
292,modern,I-call-of-duty,23,I-game
293,warfare,I-call-of-duty,23,I-game
294,2,I-call-of-duty,23,I-game
300,god,B-god-of-war,24,B-game
301,of,I-god-of-war,24,I-game
302,war,I-god-of-war,24,I-game
315,the,B-the-last-of-us,25,B-game
316,last,I-the-last-of-us,25,I-game
317,of,I-the-last-of-us,25,I-game
318,us,I-the-last-of-us,25,I-game
321,the,B-the-last-of-us,26,B-game
322,last,I-the-last-of-us,26,I-game
323,of,I-the-last-of-us,26,I-game
324,us,I-the-last-of-us,26,I-game
327,horizon,B-horizon,27,B-game
328,forbidden,I-horizon,27,I-game
329,west,I-horizon,27,I-game
336,horizon,B-horizon,28,B-game
337,forbidden,I-horizon,28,I-game
338,west,I-horizon,28,I-game
342,diablo,B-diablo,29,B-game
346,call,B-call-of-duty,29,B-game
347,of,I-call-of-duty,29,I-game
348,duty,I-call-of-duty,29,I-game
363,assassin,B-assassins-creed,30,B-game
364,'s,I-assassins-creed,30,I-game
365,creed,I-assassins-creed,30,I-game
373,nba,B-nba,31,B-game
374,2k23,I-nba,31,I-game
386,nba,B-nba,32,B-game
387,2k23,I-nba,32,I-game
394,nba,B-nba,33,B-game
395,2k23,I-nba,33,I-game
397,grand,B-grand-theft-auto,34,B-game
398,theft,I-grand-theft-auto,34,I-game
399,auto,I-grand-theft-auto,34,I-game
400,online,I-grand-theft-auto,34,I-game
403,cars,B-disney,34,B-game
423,disney,B-disney,35,B-game
438,dead,B-dead-space,36,B-game
439,space,I-dead-space,36,I-game
